annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
91/92,Taranto,Taranto 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,32,novembre 1991,,TA92.jpg,True,accertata
92/93,Bari,Bari 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,72,novembre 1992,,BA93.jpg,True,accertata
92/93,Brindisi,Brindisi 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,novembre 1992,,BR93.jpg,True,accertata
92/93,Lecce,Lecce 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
92/93,Foggia,Foggia 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,novembre 1992,,FG93.jpg,True,accertata
92/93,Taranto,Taranto 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,32,novembre 1992,,TA93.jpg,True,accertata
93/94,Bari,Bari 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,78,novembre 1993,,BA94.jpg,True,accertata
93/94,Brindisi,Brindisi 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,dicembre 1993,,BR94.jpg,True,accertata
93/94,Lecce,Lecce 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,dicembre 1993,,LE94.jpg,True,accertata
93/94,Foggia,Foggia 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,dicembre 1993,,FG94.jpg,True,accertata
93/94,Taranto,Taranto 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,dicembre 1993,,TA94.jpg,True,accertata
94/95,Bari,Bari 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,78,novembre 1994,,BA95.jpg,True,accertata
94/95,Brindisi,Brindisi 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,dicembre 1994,,BR95.jpg,True,accertata
94/95,Lecce,Lecce 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
94/95,Foggia,Foggia 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,dicembre 1994,,FG95.jpg,True,accertata
94/95,Taranto,Taranto 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
95/96,Bari,Bari 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,BA96.jpg,True,accertata
95/96,Brindisi,Brindisi 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
