annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
95/96,Palermo,Palermo 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,70,,ottobre 1995,,PA96.jpg,True,accertata
95/96,Catania,Catania 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,62,,ottobre 1995,,CT96.jpg,True,accertata
95/96,Agrigento,Agrigento 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,ottobre 1995,,AG96.jpg,True,accertata
95/96,Trapani,Trapani 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,ottobre 1995,,TP96.jpg,True,accertata
95/96,Ragusa - Siracusa,Ragusa - Siracusa 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,ottobre 1995,,RGSR96.jpg,True,accertata
95/96,Caltanissetta - Enna,Caltanissetta - Enna 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,ottobre 1995,,CLEN96.jpg,True,accertata
95/96,Messina,Messina 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,ottobre 1995,,ME96.jpg,True,accertata
96/97,Palermo,Palermo 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,70,,ottobre 1996,Cambio formato,PA97.jpg,True,accertata
96/97,Catania,Catania 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,54,,ottobre 1996,Cambio formato,CT97.jpg,True,accertata
96/97,Agrigento,Agrigento 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,22,,ottobre 1996,Cambio formato,AG97.jpg,True,accertata
96/97,Trapani,Trapani 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Ragusa - Siracusa,Ragusa - Siracusa 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,30,,ottobre 1996,Cambio formato,RGSR97.jpg,True,accertata
96/97,Caltanissetta - Enna,Caltanissetta - Enna 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Messina,Messina 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,22,,dicembre 1996,Cambio formato,ME97.jpg,True,accertata
97/98,Palermo,Palermo (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,86,,ottobre 1997,"""dicembre 1997 - novembre 1998""",PA97b.jpg,True,accertata
97/98,Catania,Catania (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,70,,ottobre 1997,"""dicembre 1997 - novembre 1998""",CT97b.jpg,True,accertata
97/98,Agrigento,Agrigento (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,30,,ottobre 1997,"""dicembre 1997 - novembre 1998""",AG97b.jpg,True,accertata
97/98,Trapani,Trapani (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,30,,ottobre 1997,"""dicembre 1997 - novembre 1998""",TP97b.jpg,True,accertata
97/98,Ragusa - Siracusa,Ragusa - Siracusa (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,38,,ottobre 1997,"""dicembre 1997 - novembre 1998""",RGSR97b.jpg,True,accertata
97/98,Caltanissetta - Enna,Caltanissetta - Enna (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,30,,ottobre 1997,"""dicembre 1997 - novembre 1998""",CLEN97b.jpg,True,accertata
97/98,Messina,Messina (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,38,,ottobre 1997,"""dicembre 1997 - novembre 1998""",ME97b.jpg,True,accertata
98/99,Palermo,Palermo (99),99,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,,,,"""da utilizzare fino a Gennaio 2000""",Ricercato1.jpg,False,accertata
98/99,Catania,Catania (99),99,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,62,,ottobre 1998,"""da utilizzare fino a Gennaio 2000""",CT98.jpg,True,accertata
99/00,Palermo,Palermo 1999/2000,99/00,Copertina 1999/2000 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio bis,,,,,Ricercato1.jpg,False,accertata
99/00,Catania,Catania 1999/2000,99/00,,226 x 274 mm,sottile,TuttoCittà nuovo millennio bis,,,,,Ricercato1.jpg,False,accertata
00/01,Palermo,Palermo ?,,,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,,Ricercato1.jpg,False,accertata
00/01,Catania,Catania ?,,,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,,Ricercato1.jpg,False,accertata
01/02,Palermo,Palermo 2002,02,Copertina 2002 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,70,71,luglio 2001,,PA02.jpg,True,accertata
01/02,Catania,Catania 2002,02,Copertina 2002 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,,Ricercato1.jpg,False,accertata
02/03,Palermo,Palermo 2003,03,Copertina 2003 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,,Ricercato1.jpg,False,accertata
02/03,Catania,Catania 2003,03,Copertina 2003 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,54,,novembre 2002,,CT03.jpg,True,accertata
03/04,Palermo,Palermo 2004,04,Copertina 2004 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,,Ricercato1.jpg,False,accertata
03/04,Catania,Catania 2004,04,Copertina 2004 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,54,55,novembre 2003,,CT04.jpg,True,accertata
04/05,Palermo,Palermo 2004,04,Copertina 2004 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,,,,,Ricercato1.jpg,False,accertata
04/05,Catania,Catania 2004,04,Copertina 2004 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,,,,,Ricercato1.jpg,False,accertata
05/06,Palermo,Palermo 2005,05,Copertina 2005 arancione,226 x 274 mm,grossa,TuttoCittà metà duemila,,,,,Ricercato1.jpg,False,accertata
05/06,Catania,Catania 2005,05,Copertina 2005 arancione,226 x 274 mm,grossa,TuttoCittà metà duemila,62,,novembre 2005,,CT05.jpg,True,accertata
06/07,Palermo,Palermo 2006,06,Copertina 2006 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,,Ricercato1.jpg,False,accertata
06/07,Catania,Catania 2006,06,Copertina 2006 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,,Ricercato1.jpg,False,accertata
07/08,Palermo,Palermo 2007,07,Copertina 2007 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,64,,novembre 2007,,PA07.jpg,True,accertata
07/08,Catania,Catania 2007,07,Copertina 2007 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,,Ricercato1.jpg,False,accertata
08/09,Palermo,Palermo 2009,09,Copertina 2009 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,,Ricercato1.jpg,False,accertata
08/09,Catania,Catania 2009,09,,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,,Ricercato1.jpg,False,accertata
09/10,Palermo,Palermo 2009/2010,09/10,Copertina 2009/2010 arancione/bianca formato ridotto,226 x 274 mm,grossa,TuttoCittà anni dieci,,,,Riforma cartografica; nuovo formato; inserto Agenzia del Territorio,Ricercato1.jpg,False,accertata
09/10,Catania,Catania 2009/2010,09/10,Copertina 2009/2010 arancione/bianca formato ridotto,226 x 274 mm,grossa,TuttoCittà anni dieci,64,,dicembre 2009,Riforma cartografica; nuovo formato; inserto Agenzia del Territorio,CT0910.jpg,True,accertata
10/11,Palermo,Palermo 2011,11,Copertina 2011 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,,Ricercato1.jpg,False,accertata
10/11,Catania,Catania 2011,11,Copertina 2011 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,56,,dicembre 2010,,CT11.jpg,True,accertata
11/12,Palermo,Palermo 2012,12,Copertina 2012 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,64,,novembre 2011,,PA12.jpg,True,accertata
11/12,Catania,Catania 2012,12,Copertina 2012 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,,Ricercato1.jpg,False,accertata
12/13,Palermo,Palermo 2013,13,Copertina 2013 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,64,,ottobre 2012,,PA13.jpg,True,accertata
12/13,Catania,Catania 2013,13,Copertina 2013 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,,Ricercato1.jpg,False,accertata
13/14,Palermo,Palermo 2014,14,Copertina 2014 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,64,,ottobre 2013,,PA14.jpg,True,accertata
13/14,Catania,Catania 2014,14,Copertina 2014 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,,Ricercato1.jpg,False,accertata
14/15,Palermo,Palermo 2015,15,Copertina 2015 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,,Ricercato1.jpg,False,accertata
14/15,Catania,Catania 2015,15,Copertina 2015 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,32,,novembre 2014,,CT15.jpg,True,accertata
