annata,fascicolo,citta,pagina,tavole,pagine_tavola,elenco_vie,illustrazioni,nota,cambiamenti
95/96,Nuoro - Sassari 95,Nuoro,12,1,2,sezione dedicata,,"1 tavola, 2 pagine",
95/96,Nuoro - Sassari 95,Macomer,14,1,1,sezione dedicata,,"1 tavola, 1 pagina",
95/96,Nuoro - Sassari 95,Sassari,28,4,4,sezione dedicata,,"4 tavole, 4 pagine",
95/96,Nuoro - Sassari 95,Zona industriale Predda Niedda,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuova cartografia rinnovata
95/96,Nuoro - Sassari 95,Alghero,34,1,2,sezione dedicata,,"1 tavola, 2 pagine",
95/96,Nuoro - Sassari 95,Olbia,36,1,2,sezione dedicata,,"1 tavola, 2 pagine",
95/96,Nuoro - Sassari 95,Porto Torres,38,1,2,sezione dedicata,,"1 tavola, 2 pagine",
95/96,Nuoro - Sassari 95,La Maddalena,40,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
95/96,Nuoro - Sassari 95,Tempio Pausania,41,1,1,sezione dedicata,,"1 tavola, 1 pagina",
96/97,Cagliari - Oristano 96,Cagliari,26,7,7,sezione dedicata,,"7 tavole, 7 pagine",
96/97,Cagliari - Oristano 96,Assemini,33,1,1,sezione dedicata,,"1 tavola, 1 pagina",
96/97,Cagliari - Oristano 96,Carbonia,34,1,2,sezione dedicata,,"1 tavola, 2 pagine",
96/97,Cagliari - Oristano 96,Elmas,36,1,1,sezione dedicata,,"1 tavola, 1 pagina",
96/97,Cagliari - Oristano 96,Iglesias,38,1,2,sezione dedicata,,"1 tavola, 2 pagine",
96/97,Cagliari - Oristano 96,Guspini,40,1,2,sezione dedicata,,"1 tavola, 2 pagine",
96/97,Cagliari - Oristano 96,Monserrato,42,1,1,sezione dedicata,,"1 tavola, 1 pagina",
96/97,Cagliari - Oristano 96,Pula,43,1,1,sezione dedicata,,"1 tavola, 1 pagina",
96/97,Cagliari - Oristano 96,Quartu Sant'Elena,44,3,3,sezione dedicata,,"3 tavole, 3 pagine",
96/97,Cagliari - Oristano 96,Oristano,60,1,2,sezione dedicata,,"1 tavola, 2 pagine",
96/97,Nuoro - Sassari 96,Nuoro,14,1,2,sezione dedicata,,"1 tavola, 2 pagine",
