annata,provincia,titolo
97/98,Trieste,"Dai romanzi ai periodici, il paradiso dei lettori"
97/98,Trieste,Quando la scienza diventa spettacolo
97/98,Trieste,Viaggio nel pianeta Università
97/98,Trieste,"""Grand Tour"" antiquario nel cuore di Trieste"
97/98,Trieste,"Viaggiatori antichi. Nell'800, belle donne e baruffe"
97/98,Trieste,Da Prosecco a Muggia tra grotte e castellieri
97/98,Udine,"Favole, film e sport per i bambini di Udine"
97/98,Udine,Tra libri e antichi manoscritti
97/98,Udine,Nel museo di Zuglio le origini della Carnia
97/98,Udine,Il rifugio Pellarini finestra sulle Alpi
97/98,Udine,"Da Palmanova, città fortezza, ad Aquileia, capolavoro romano"
97/98,Udine,A Forni di Sopra avventure su due ruote
